"","Fire_ID","mtbs_cast_id","modis_id","n","mtbs_acres","mtbs_hectares","mtbs_year","modis_ha","modis_acres","west_or_east"
"115","FL2825108174620010222","FL2825108174620010222","200102871",1,426.712521072675,172.68512138194,2001,85.7476,211.886934,"e"
"116","FL2825108174620010222","FL2825108174620010222_5883","200102871",1,10042.2335392173,4063.96398518192,2001,3322.7195,8210.6186925,"e"
"117","FL2825108174620010222","FL2825108174620010222_5884","200102856",1,3630.61358008142,1469.2630654269,2001,664.5439,1642.1237385,"e"
"118","FL2991908306120010528","FL2991908306120010528","200102752",1,57950.6025194103,23451.8706061511,2001,4094.4479,10117.6010985,"e"
"119","FL2991908306120010528","FL2991908306120010528_6658","NA",0,1296.21523364278,524.561792553073,2001,NA,NA,"e"
"120","FL2992708495620010227","FL2992708495620010227","200102733",1,5595.98409280317,2264.62347504572,2001,300.1166,741.604269,"e"
"121","FL2997708499320010219","FL2997708499320010219","NA",0,2917.38806837074,1180.62978662635,2001,NA,NA,"e"
"122","FL2999908494420010429","FL2999908494420010429","200102716",1,4781.49380463068,1935.00963122433,2001,342.9904,847.547736,"e"
"123","FL3004908487120010126","FL3004908487120010126","NA",0,2135.01358248943,864.012798868597,2001,NA,NA,"e"
"124","FL3005308497420010416","FL3005308497420010416","NA",0,1757.81359152081,711.364767679024,2001,NA,NA,"e"
"125","FL3009808507520011009","FL3009808507520011009","200102697",1,1539.55009934351,623.036312856245,2001,471.6118,1165.378137,"e"
"126","FL3012008507620010126","FL3012008507620010126","200102696 200102697",2,1918.04751427789,776.209394996858,2001,85.7476,211.886934,"e"
"127","FL3012808503120010219","FL3012808503120010219","NA",0,1401.77800028744,567.281699448752,2001,NA,NA,"e"
"128","FL3013208495520010126","FL3013208495520010126","NA",0,4184.86393217409,1693.5611223166,2001,NA,NA,"e"
"129","FL3015608499020010126","FL3015608499020010126","NA",0,1725.14608072589,698.144642212152,2001,NA,NA,"e"
"130","FL3016208490020010627","FL3016208490020010627","NA",0,5383.50346528956,2178.63527188435,2001,NA,NA,"e"
"131","FL3017708504720011017","FL3017708504720011017","NA",0,2040.48716902675,825.759163513421,2001,NA,NA,"e"
"132","FL3018308500020011110","FL3018308500020011110","200102682 200102681",2,1534.63995148174,621.049238567019,2001,385.8642,953.491203,"e"
"133","FL3018908506020010307","FL3018908506020010307","NA",0,1469.83299150735,594.822687442064,2001,NA,NA,"e"
"134","FL3019308497120011009","FL3019308497120011009","200102681",1,2855.98618271783,1155.78122570201,2001,943.2236,2330.756274,"e"
"135","FL3020008482920010416","FL3020008482920010416","200102671 200102675",2,4080.34977277535,1651.26557341512,2001,214.369,529.717335,"e"
"136","FL3021808493020010416","FL3021808493020010416","200102670 200102673",2,3577.26286663465,1447.6727113304,2001,235.8059,582.6890685,"e"
"137","FL3023108481320010227","FL3023108481320010227","200102671 200102675",2,1672.06149560424,676.661986858618,2001,192.9321,476.7456015,"e"
"138","FL3025808487320010729","FL3025808487320010729","200102660 200102666",2,4369.97136435199,1768.47174203309,2001,64.3107,158.9152005,"e"
"139","FL3027908481420010323","FL3027908481420010323","200102658 200102666",2,4606.73815272668,1864.28824511323,2001,385.8642,953.491203,"e"
"140","FL3028808490020010126","FL3028808490020010126","NA",0,4237.08960360257,1714.69618624022,2001,NA,NA,"e"
"141","FL3028908454320010503","FL3028908454320010503","200102663",1,1523.65719163464,616.604655566414,2001,300.1166,741.604269,"e"
"142","FL3029608485220010416","FL3029608485220010416","200102660",1,2808.65507698791,1136.62693016466,2001,235.8059,582.6890685,"e"
"143","FL3046808678920010512","FL3046808678920010512","200102626",1,1886.36511120158,763.387930074406,2001,600.2332,1483.208538,"e"
"144","FL3051508685720010428","FL3051508685720010428","200102608 200102614",2,1660.82680522199,672.115450779784,2001,535.9225,1324.2933375,"e"
"145","FL3056208683720010208","FL3056208683720010208","200102598",1,2740.72012050033,1109.13451869841,2001,1157.5926,2860.473609,"e"
"146","GA3065608229320010608","GA3065608229320010608","200102574",1,3144.94522371545,1272.71926854089,2001,1007.5343,2489.6714745,"e"
"147","GA3083808464420010416","GA3083808464420010416","NA",0,875.156362229834,354.164631166511,2001,NA,NA,"e"
"148","GA3086408481720010416","GA3086408481720010416","200102525 200102529",2,3511.38052610595,1421.0109673944,2001,364.4273,900.5194695,"e"
"149","GA3087908470120010227","GA3087908470120010227","NA",0,641.384902549389,259.560299451399,2001,NA,NA,"e"
"150","GA3088508472420010416","GA3088508472420010416","NA",0,1041.71984675588,421.570751499879,2001,NA,NA,"e"
"151","GA3089308235120010519","GA3089308235120010519","200102500 200102515",2,6417.50888539377,2597.08409319247,2001,428.738,1059.43467,"e"
"152","GA3091108467420010323","GA3091108467420010323","NA",0,1349.27267226964,546.033462065983,2001,NA,NA,"e"
"153","GA3102008211820010519","GA3102008211820010519","NA",0,809.468693014054,327.581668230928,2001,NA,NA,"e"
"154","GA3102308209920010417","GA3102308209920010417","NA",0,619.295002081448,250.620798135543,2001,NA,NA,"e"
"155","GA3113308288620010512","GA3113308288620010512","200102449",1,2740.23073299313,1108.93646980855,2001,771.7284,1906.982406,"e"
"156","GA3143608247820010519","GA3143608247820010519","NA",0,1614.55193969116,653.388602195549,2001,NA,NA,"e"
"157","GA3144208140820010511","GA3144208140820010511","200102369",1,3830.58261014675,1550.18798448635,2001,1672.0782,4131.795213,"e"
"158","GA3464408412720011202","GA3464408412720011202","NA",0,539.14997762323,218.187127705777,2001,NA,NA,"e"
"159","GA3465008395920011110","GA3465008395920011110","200101734",1,900.380976902524,364.372711387865,2001,321.5535,794.5760025,"e"
"160","ID4209911480020010704","ID4209911480020010704","200100665",1,3440.69866368684,1392.40691809052,2001,192.9321,476.7456015,"w"
"161","ID4210711285420010714","ID4210711285420010714","NA",0,1048.87785419765,424.467505925616,2001,NA,NA,"w"
"162","ID4214211277720010625","ID4214211277720010625","NA",0,2838.99573409064,1148.90540758413,2001,NA,NA,"w"
"163","ID4219211292120010812","ID4219211292120010812","200100657",1,2085.30740190155,843.897340792343,2001,836.0391,2065.8976065,"w"
"164","ID4222111519620010727","ID4222111519620010727","200100656",1,6310.96027392616,2553.96522745563,2001,1757.8258,4343.682147,"w"
"165","ID4233211307120010813","ID4233211307120010813","200100645",1,4072.42871202669,1648.06002103663,2001,1500.583,3708.021345,"w"
"166","ID4251211318820010714","ID4251211318820010714","200100634",1,6701.88445216946,2712.16726240267,2001,2015.0686,4979.342949,"w"
"167","ID4255011343920010804","ID4255011343920010804","NA",0,1742.41441030652,705.132915211967,2001,NA,NA,"w"
"168","ID4262811433420010624","ID4262811433420010624","NA",0,11276.2752613496,4563.36494965582,2001,NA,NA,"w"
"169","ID4262911588620010812","ID4262911588620010812","NA",0,6084.24476361811,2462.2163485657,2001,NA,NA,"w"
"170","ID4264211516020010704","ID4264211516020010704","NA",0,11585.9872056928,4688.70142810716,2001,NA,NA,"w"
"171","ID4265411393520010601","ID4265411393520010601","NA",0,2192.99852871399,887.478567934719,2001,NA,NA,"w"
"172","ID4267511533720010715","ID4267511533720010715","200100621",1,9391.73994475466,3800.71751414896,2001,3129.7874,7733.873091,"w"
"173","ID4289611533520010610","ID4289611533520010610","NA",0,1107.6653392933,448.258052249313,2001,NA,NA,"w"
"174","ID4296511538720010812","ID4296511538720010812","NA",0,1373.81524708565,555.965529445855,2001,NA,NA,"w"
"175","ID4302711140620011016","ID4302711140620011016","NA",0,1013.11364561346,409.994186312298,2001,NA,NA,"w"
"176","ID4307711665420010826","ID4307711665420010826","200100575",1,8736.18726885117,3535.42369730459,2001,3258.4088,8051.703492,"w"
