id,latitude,longitude,ignition_date,ignition_state
24601,45.797917741079075,-118.88478080932961,2006-09-27,Oregon
24602,45.45208400732557,-116.27670629590577,2006-09-27,Idaho
24603,39.14375025028677,-122.18786005447818,2006-09-27,California
24604,31.83125085804107,-84.72808636098124,2006-09-27,Georgia
24605,31.02291677840169,-86.92779415923854,2006-09-27,Alabama
24606,31.227082787557986,-96.49238521297815,2006-09-27,Texas
24607,36.35208376439693,-89.02780230654231,2006-09-27,Tennessee
24608,35.55625024098996,-76.72439780404203,2006-09-28,North Carolina
24609,45.781248833901536,-118.45490604786254,2006-09-28,Oregon
24610,42.44374870774554,-114.60107707629871,2006-09-28,Idaho
24611,48.460414810302645,-99.41693610167489,2006-09-28,North Dakota
24612,45.75208386709455,-115.17438465377512,2006-09-28,Idaho
24613,34.06458314743236,-91.60908515523673,2006-09-28,Arkansas
24614,34.522916941014294,-91.72082555373372,2006-09-28,Arkansas
24615,39.41666707041985,-121.9151525283377,2006-09-28,California
24616,43.19375060546947,-110.42725240306129,2006-09-28,Wyoming
24617,36.16041606317157,-91.02879499897207,2006-09-28,Arkansas
24618,48.10069556660466,-98.32417224100215,2006-09-28,North Dakota
24619,43.441666313137716,-115.1826908180224,2006-09-28,Idaho
24620,40.889583329628834,-110.58052048724323,2006-09-28,Utah
24621,30.818750769245394,-91.74462915295477,2006-09-28,Louisiana
24622,46.2979175073607,-118.05407445451367,2006-09-28,Washington
24623,47.90624896474921,-123.85712158851182,2006-09-29,Washington
24624,34.42291743741826,-94.00020093323856,2006-09-29,Arkansas
24625,30.35208432071587,-85.9878762061075,2006-09-29,Florida
24626,35.193749848360405,-90.62107622811892,2006-09-29,Arkansas
24628,42.227084390658305,-115.18039140053615,2006-09-29,Idaho
24629,35.61249993365895,-91.14685498029337,2006-09-29,Arkansas
24630,46.67291620792118,-118.74316371157686,2006-09-29,Washington
24631,42.83645840321984,-118.50438988193929,2006-09-29,Oregon
24632,31.0562500961538,-85.10511105837266,2006-09-29,Alabama
24633,45.92291880680022,-118.73905701434776,2006-09-29,Oregon
24634,36.2520838111406,-102.00652384990289,2006-09-29,Texas
24635,38.90208482073472,-107.23451947200698,2006-09-29,Colorado
24636,48.85208241804066,-116.51059796583715,2006-09-29,Idaho
24637,31.5645843160242,-83.21835217189286,2006-09-29,Georgia
24638,48.55625090921681,-99.32814275752571,2006-09-30,North Dakota
24640,35.43750001546039,-90.66320633803782,2006-09-30,Arkansas
24641,46.24166725261633,-117.99924250615393,2006-09-30,Washington
24642,45.76041607238184,-119.1303408097715,2006-09-30,Oregon
24643,31.318750535527023,-84.60985641388733,2006-09-30,Georgia
24644,39.242360753228056,-96.86375550204166,2006-09-30,Kansas
24645,30.647915829539727,-83.76040381181029,2006-09-30,Florida
24646,46.966668037875436,-115.7943864797656,2006-09-30,Idaho
24647,44.102082390063686,-112.23467522795798,2006-09-30,Idaho
24648,35.022917156956225,-90.68063317534266,2006-09-30,Arkansas
24649,26.493749418457064,-80.8278835064697,2006-10-01,Florida
24651,35.71041627351809,-76.70831283969295,2006-10-01,North Carolina
24652,48.9854156890491,-99.49506797666021,2006-10-01,North Dakota
24653,36.885416848430665,-89.81773014770866,2006-10-01,Missouri
24654,36.00208317856596,-101.66155094896747,2006-10-01,Texas
24655,48.12083360296683,-99.27918805662934,2006-10-01,North Dakota
24656,48.96666710300197,-99.63219320532497,2006-10-01,North Dakota
24657,46.852083352914136,-116.098483930162,2006-10-01,Idaho
24658,36.952083483934885,-89.75029124478236,2006-10-01,Missouri
24659,48.04975752539825,-119.44740104344645,2006-10-01,Washington
24660,35.527083025881495,-76.77841651748278,2006-10-01,North Carolina
24661,48.64958419892271,-98.39807734674329,2006-10-01,North Dakota
24662,35.65625019424629,-76.22036626622787,2006-10-01,North Carolina
24663,46.30208136170286,-118.23795542027837,2006-10-01,Washington
24664,46.81041782987474,-118.50456274735234,2006-10-01,Washington
24665,48.17499968223864,-98.32495239115417,2006-10-01,North Dakota
24666,48.53958425034075,-99.71077714260628,2006-10-01,North Dakota
24667,34.13124978293657,-78.84534560256668,2006-10-01,North Carolina
24668,36.48645912314164,-89.37502835596632,2006-10-01,Tennessee
24669,35.091667218499175,-91.40713088733779,2006-10-01,Arkansas
24670,48.44375039972807,-98.73421086868333,2006-10-01,North Dakota
24672,27.231250759948583,-81.50653770594793,2006-10-01,Florida
24673,36.637202437851414,-89.52381069501847,2006-10-01,Missouri
24674,45.96041597889449,-118.29792645369018,2006-10-01,Oregon
24675,33.679166941961284,-90.7006640215081,2006-10-01,Mississippi
24676,48.310417128719635,-99.29978632189396,2006-10-01,North Dakota
24677,48.2937482215421,-99.4427178273774,2006-10-01,North Dakota
24678,48.74791861044218,-98.62587423048555,2006-10-01,North Dakota
24680,39.19791632955858,-121.56693205992637,2006-10-01,California
24682,26.552083848674,-80.54756725761557,2006-10-01,Florida
24683,26.235417330028962,-81.46036560963653,2006-10-02,Florida
24684,48.98125183470694,-101.1818489989728,2006-10-02,North Dakota
24685,37.0879168661898,-89.78971095175942,2006-10-02,Missouri
24686,43.0114583214184,-111.14314934110993,2006-10-02,Idaho
24687,30.885417404749614,-84.35577158022343,2006-10-02,Georgia
24688,36.88125074578702,-78.48822816304924,2006-10-02,Virginia
24689,34.656250661683025,-91.90359166976131,2006-10-02,Arkansas
24690,48.447918750673196,-98.60097318081046,2006-10-02,North Dakota
24691,27.885416558758344,-80.70669876421708,2006-10-02,Florida
24692,34.49375017556613,-91.92380921634128,2006-10-02,Arkansas
24693,35.45625028773364,-90.920908523621,2006-10-02,Arkansas
24694,35.11458265662378,-90.441255225042255,2006-10-02,Arkansas
24695,34.39791632495344,-91.90678707145966,2006-10-02,Arkansas
24697,34.51458406123656,-91.77486201400478,2006-10-02,Arkansas
24698,35.514582469649085,-90.90502001087732,2006-10-02,Arkansas
24699,34.80208224062239,-80.44569676618093,2006-10-02,South Carolina
24700,35.51736062084534,-91.00884208280203,2006-10-02,Arkansas
24701,48.58958422696892,-99.09128143560353,2006-10-02,North Dakota
24702,43.79027744865365,-110.46038993086854,2006-10-02,Wyoming
24704,48.40624873103084,-99.53068962670724,2006-10-03,North Dakota
24705,36.893749053717954,-78.4073004654115,2006-10-03,Virginia
24706,26.28125007986274,-81.4878725622153,2006-10-03,Florida
24707,35.26458258650827,-94.26219761363528,2006-10-03,Arkansas
24708,29.67291740944129,-94.10018269931759,2006-10-03,Texas
24709,37.78958477868272,-98.97242140095773,2006-10-03,Kansas
24710,37.76268937002494,-95.07741335422426,2006-10-03,Kansas
24711,34.662201915702305,-91.7560517459544,2006-10-03,Arkansas
24712,47.996527262403205,-98.51777284715332,2006-10-03,North Dakota
24714,35.56458244627725,-91.36123455369177,2006-10-03,Arkansas
24715,35.79791623261738,-76.58721662799239,2006-10-03,North Carolina
24717,34.96597217705433,-91.22939059767324,2006-10-04,Arkansas
24718,45.327082941604424,-95.60309399575985,2006-10-04,Minnesota
24719,34.62708344657456,-91.64847178585352,2006-10-04,Arkansas
24720,34.4479163015816,-91.87586386072005,2006-10-04,Arkansas
24721,47.28958483463668,-117.01551269943677,2006-10-04,Idaho
24722,46.702081174728164,-118.79515056177242,2006-10-04,Washington
24723,46.99166690203879,-117.29626186695738,2006-10-04,Washington
24725,26.631251040410625,-80.53337792859948,2006-10-05,Florida
24726,47.05208325942679,-117.35874573001576,2006-10-05,Washington
24727,46.722918432850825,-116.88085345616318,2006-10-05,Idaho
24728,46.38958525532974,-118.070956749147,2006-10-05,Washington
24729,47.05208325942679,-117.47799775105146,2006-10-05,Washington
24730,46.22708252091136,-118.19676302594478,2006-10-05,Washington
24731,44.611458697670365,-116.94001884552405,2006-10-05,Idaho
24732,37.42500021058061,-101.40564957969642,2006-10-05,Kansas
24733,48.64583448171328,-99.46662186069655,2006-10-05,North Dakota
24734,46.522918526338174,-117.45206265569028,2006-10-05,Washington
24735,46.24166725261633,-116.39672627424201,2006-10-05,Idaho
24736,46.78541671740992,-117.3268159214204,2006-10-05,Washington
24737,48.20208384602528,-98.4581996842703,2006-10-06,North Dakota
24738,38.26736233312961,-121.71296681411962,2006-10-06,California
24739,46.15833395823606,-118.41894815199902,2006-10-06,Washington
24740,48.377083764223855,-98.5013478090283,2006-10-06,North Dakota
24741,30.2687510263356,-83.52673492956468,2006-10-07,Florida
24742,26.831250946923277,-80.6073750515884,2006-10-07,Florida
24743,35.53124912852514,-78.87392906945666,2006-10-07,North Carolina
24744,46.32708247416769,-118.24370677355162,2006-10-07,Washington
24746,26.596875634922235,-80.61984293121274,2006-10-07,Florida
24747,47.47013943145446,-119.44041492233042,2006-10-07,Washington
24748,32.0124999302051,-81.55867726938001,2006-10-07,Georgia
24750,36.72291636231377,-87.28287963386765,2006-10-07,Kentucky
24751,48.663749397571394,-98.66040972516171,2006-10-07,North Dakota
24753,39.23124964731069,-121.57086768448187,2006-10-08,California
24754,46.32708247416769,-116.2706183396791,2006-10-08,Idaho
24755,41.414584208375295,-123.24552496954568,2006-10-08,California
24756,35.88541731586741,-76.41460634326799,2006-10-08,North Carolina
24757,30.052082212645413,-92.94687970487051,2006-10-08,Louisiana
24758,36.16041606317157,-100.93753458002271,2006-10-09,Texas
24759,34.60208233410973,-119.11296377900678,2006-10-09,California
24760,26.741666250276058,-80.67441266920105,2006-10-09,Florida
24761,31.64583343493191,-82.66451138632517,2006-10-09,Georgia
24762,30.10208443757506,-84.883365513456,2006-10-09,Florida
24763,35.872916759635,-76.18144113986872,2006-10-09,North Carolina
24764,26.806249834458455,-80.64328028564131,2006-10-09,Florida
24765,26.589583269069745,-80.57859327533791,2006-10-10,Florida
24767,39.04513974734548,-96.887819032439225,2006-10-10,Kansas
24768,35.050297935945345,-119.89894877681391,2006-10-10,California
24769,47.29791703992396,-116.95715199779026,2006-10-10,Idaho
24770,43.26458109531584,-123.16099482579126,2006-10-10,Oregon
24771,30.031249451125714,-92.98509292084195,2006-10-10,Louisiana
24772,46.06458428309594,-116.06483654437541,2006-10-10,Idaho
24773,37.07291619871091,-89.99754765510464,2006-10-11,Missouri
24774,48.564583114504096,-99.45783539090239,2006-10-11,North Dakota
24777,30.260416572746834,-84.48925775319918,2006-10-11,Florida
24779,35.71041627351809,-87.23302648303081,2006-10-11,Tennessee
24780,46.818750035162026,-97.58330161160964,2006-10-11,North Dakota
24781,46.21875031562407,-118.4498150865565,2006-10-12,Washington
24782,36.36041681279727,-101.7169493934483,2006-10-12,Texas
24784,31.839583063328355,-84.15207676099894,2006-10-12,Georgia
24785,43.693750371751094,-111.93729401815757,2006-10-12,Idaho
24786,44.82812526305907,-84.9313511733929,2006-10-12,Michigan
24787,41.67291854510487,-112.16966257066643,2006-10-12,Utah
24788,44.76554474254967,-84.90566157979413,2006-10-12,Michigan
24789,36.95000005789615,-101.41459784137025,2006-10-13,Oklahoma
24790,37.220833077273575,-100.55756876793994,2006-10-13,Kansas
24791,45.395833752581204,-118.05226907338911,2006-10-13,Oregon
24792,35.70625017087445,-95.19728286059771,2006-10-13,Oklahoma
24793,37.943750811210855,-99.17442293031098,2006-10-13,Kansas
24794,26.10625016166417,-97.62657333523703,2006-10-13,Texas
24795,38.17708253660796,-99.62014055602825,2006-10-13,Kansas
24796,45.95625212455233,-116.2153181564505,2006-10-13,Idaho
24797,33.8854160024394,-116.76294190205677,2006-10-13,California
24798,37.47291601173621,-94.43553677143215,2006-10-13,Missouri
24799,38.146873608480135,-97.65782828714663,2006-10-13,Kansas
24800,38.45104069504349,-97.02131027266665,2006-10-13,Kansas
24801,29.889583974829993,-91.73768456901827,2006-10-13,Louisiana
24802,38.12291795620381,-98.52749481620702,2006-10-13,Kansas
24803,30.20208439083138,-100.65732561960563,2006-10-13,Texas
24804,42.85208522266109,-113.5939545772004,2006-10-14,Idaho
24806,38.75208264254875,-121.5733688662666,2006-10-14,California
24807,37.67500009372143,-101.14095533609238,2006-10-14,Kansas
24808,32.14374902574098,-109.7893810504734,2006-10-14,Arizona
24809,34.441964084004546,-102.42511775670712,2006-10-15,Texas
24810,37.38958271735594,-101.49932284062653,2006-10-15,Kansas
24811,36.8770823948419,-78.81730876967913,2006-10-15,Virginia
24812,29.619791731679648,-100.03459701029612,2006-10-15,Texas
24813,46.79374892269721,-96.33292099869726,2006-10-15,Minnesota
24814,36.85624963332221,-78.51461968323804,2006-10-15,Virginia
24815,36.718750259670124,-98.06413586700486,2006-10-15,Oklahoma
24816,26.75624985783029,-80.60776828546479,2006-10-16,Florida
24817,36.664584180398315,-121.5049589436096,2006-10-16,California
24818,42.518752045140005,-111.73108131561843,2006-10-16,Idaho
24819,26.656249904573965,-80.77945824313292,2006-10-17,Florida
24820,36.314584344001176,-79.37726185811502,2006-10-17,North Carolina
24821,27.13749996065772,-82.23636875931477,2006-10-17,Florida
24823,29.706250727193392,-90.53356951628191,2006-10-17,Louisiana
24824,39.20000050503114,-96.70047440099421,2006-10-17,Kansas
24825,32.11458405893399,-109.82315768697802,2006-10-17,Arizona
24826,34.552082357481574,-118.87945072924882,2006-10-17,California
24827,46.53333265879654,-117.47004705685362,2006-10-17,Washington
24828,48.6395819552956,-98.83004207080205,2006-10-18,North Dakota
24829,45.56625005855118,-84.94872420463673,2006-10-18,Michigan
24831,48.539582002039275,-98.78568850288723,2006-10-18,North Dakota
24832,43.972917470000375,-83.19711256973599,2006-10-19,Michigan
24833,30.493749797011596,-83.26955336695885,2006-10-19,Florida
24834,36.885416848430665,-78.41957780422119,2006-10-19,Virginia
24835,45.4330171844234,-84.39407495285604,2006-10-19,Michigan
24836,26.622916586821855,-80.61839267255164,2006-10-20,Florida
24838,39.356250713031834,-121.78270386234308,2006-10-20,California
24839,27.618750016741476,-81.45214981889279,2006-10-20,Florida
24841,45.09999999545587,-117.13257589359698,2006-10-21,Oregon
24842,35.14166682041042,-78.23983744312417,2006-10-21,North Carolina
24843,46.59791736712968,-116.53514242202864,2006-10-21,Idaho
24844,35.52291692323785,-115.38050121410687,2006-10-21,California
24845,46.27291639489588,-116.2882675560031,2006-10-21,Idaho
24846,46.247916781298706,-116.3376809440744,2006-10-21,Idaho
24847,31.97291633433679,-84.9568282888694,2006-10-21,Georgia
24848,41.8756943545123,-120.13152129107432,2006-10-21,California
24849,35.71041627351809,-96.22855357351573,2006-10-21,Oklahoma
24850,35.50208416171815,-92.65663935929528,2006-10-22,Arkansas
24851,40.922916647380944,-123.19541603098416,2006-10-22,California
24852,26.608332979267622,-80.46364284406025,2006-10-22,Florida
24853,29.792361423336096,-90.9234484687723,2006-10-22,Louisiana
24854,46.93541761085219,-96.34339414487158,2006-10-22,Minnesota
24855,33.44791676901834,-104.470378704418,2006-10-22,New Mexico
24856,34.543750152194285,-94.76877472216681,2006-10-22,Oklahoma
24857,38.71041711950936,-121.55587764706576,2006-10-22,California
24858,33.73958329934929,-94.65522555477523,2006-10-22,Oklahoma
24859,45.44930510669548,-93.71346378365615,2006-10-23,Minnesota
24860,46.37291634815221,-116.33192430372466,2006-10-23,Idaho
24861,39.65937458770817,-99.21140370659407,2006-10-23,Kansas
24862,46.77291616117751,-117.57639131732235,2006-10-23,Washington
24863,46.28750112660085,-116.22275413516002,2006-10-23,Idaho
24864,38.02291650407983,-81.24344087373127,2006-10-23,West Virginia
24865,34.38333271739921,-93.86485591570622,2006-10-24,Arkansas
24866,33.077084171101504,-81.26853318010033,2006-10-24,South Carolina
24869,43.4229154787891,-115.18716510677358,2006-10-25,Idaho
24870,42.85624907700325,-118.49547592992523,2006-10-25,Oregon
24871,36.597917544894095,-77.60479474561429,2006-10-25,Virginia
24872,28.219940051320474,-82.32952389189586,2006-10-25,Florida
24873,36.65624972680955,-78.53351932254739,2006-10-25,Virginia
24874,46.17708479258468,-116.33216080949936,2006-10-25,Idaho
24875,43.88958192731862,-83.25213729397407,2006-10-25,Michigan
24876,29.077083792546972,-95.93948902853316,2006-10-26,Texas
24877,29.956250610334212,-91.96746136202096,2006-10-26,Louisiana
24878,43.27708165154825,-115.21977870529291,2006-10-26,Idaho
24879,31.2395833437904,-89.62167093301109,2006-10-26,Mississippi
24880,48.86522425903386,-116.49490376370096,2006-10-26,Idaho
24881,29.725000437391273,-91.39253287254317,2006-10-26,Louisiana
24882,38.31874951177134,-91.61293455790329,2006-10-26,Missouri
24883,34.72291729718724,-119.13469994953546,2006-10-26,California
24885,42.535416455714575,-111.71282293671094,2006-10-27,Idaho
24886,36.4416673368934,-78.69389294485276,2006-10-27,North Carolina
24887,38.78958431124599,-78.53275208148432,2006-10-27,Virginia
24888,40.78958337637251,-123.15133990047421,2006-10-27,California
24889,44.82291482437767,-121.40681059117088,2006-10-27,Oregon
24891,42.270834089170265,-107.55592577850767,2006-10-27,Wyoming
24892,29.87291731595394,-83.09718219881101,2006-10-27,Florida
24893,42.24672619476512,-107.13990358986408,2006-10-27,Wyoming
24894,37.69791703071369,-78.58651883639413,2006-10-27,Virginia
24895,26.56875050755005,-80.63381887485359,2006-10-28,Florida
24896,42.63124805802578,-111.78273228200038,2006-10-28,Idaho
24897,30.683333322764398,-91.55030560911138,2006-10-28,Louisiana
24898,28.781250035421635,-95.7421581647851,2006-10-28,Texas
24899,41.105416674488815,-110.07779020092384,2006-10-28,Wyoming
24900,38.23402901537751,-107.91660913580854,2006-10-28,Colorado
24901,30.679860446410622,-91.71416042136038,2006-10-28,Louisiana
24902,46.3604157919198,-96.35707821174427,2006-10-29,Minnesota
24903,38.8020848674784,-121.49021467128776,2006-10-29,California
24904,42.2972918761644,-107.49238445034906,2006-10-29,Wyoming
24906,42.22569494034327,-107.16341732463106,2006-10-29,Wyoming
24907,41.06250019650558,-108.17953711393905,2006-10-30,Wyoming
24908,37.97152857600428,-93.22431966119849,2006-10-30,Missouri
24909,38.83124983428539,-121.58544479155944,2006-10-30,California
24910,30.014582792249662,-90.63565968080712,2006-10-30,Louisiana
24911,34.64791620809426,-118.9913711725782,2006-10-30,California
24912,30.312310436785875,-93.59684112031113,2006-10-30,Louisiana
24913,33.893750456028165,-92.65498574229164,2006-10-30,Arkansas
24914,36.21458439074485,-79.03296806154934,2006-10-30,North Carolina
24915,39.26041686241915,-122.14074051732749,2006-10-31,California
24916,30.09722211090624,-84.89123218271027,2006-10-31,Florida
24917,35.60208411497448,-76.75294307748247,2006-10-31,North Carolina
24918,30.240416582095566,-84.4373381269609,2006-10-31,Florida
24919,29.856250657077883,-90.94075043463454,2006-10-31,Louisiana
24920,35.563193745396035,-91.52696972659443,2006-10-31,Arkansas
24921,40.79270851543062,-123.23281262484838,2006-10-31,California
24922,37.0395828809588,-90.07807747708185,2006-10-31,Missouri
24923,36.785416895174336,-89.22694730519055,2006-10-31,Missouri
24924,29.270833420943422,-95.8270257015542,2006-10-31,Texas
